question,option_1,option_2,option_3,option_4,option_5,answer,wiki_text,page_id,page_title,stem_label
Who is the dean of the University of Central Florida College of Engineering and Computer Science?,John Doe,Michael Georgiopoulos,Jane Smith,Robert Johnson,David Brown,option_2,"The University of Central Florida College of Engineering and Computer Science is an academic college of the University of Central Florida located in Orlando, Florida, United States. The college offers degrees in engineering, computer science and management systems, and houses UCF's Department of Electrical Engineering and Computer Science. The dean of the college is Michael Georgiopoulos, Ph.D.UCF is listed as a university with ""very high research activity"" by The Carnegie Foundation for the Advancement of Teaching. With an enrollment of over 7,500 undergraduate and graduate students as of Fall 2012, the college is one of the premier engineering schools in the United States. The college is recognized by U.S. News & World Report as one of the nation's best Engineering schools, and as one of the world's best in the ARWU rankings. The university has made noted research contributions to modeling and simulation, digital media, and engineering and computer science.

History
The College of Engineering and Computer Science was one of the four original academic colleges when UCF began classes in 1968 as Florida Technological University.",18097115,University of Central Florida College of Engineering and Computer Science,E
What degrees does the college offer?,Engineering and computer science,Business and economics,Psychology and sociology,Mathematics and statistics,Arts and humanities,option_1,"The University of Central Florida College of Engineering and Computer Science is an academic college of the University of Central Florida located in Orlando, Florida, United States. The college offers degrees in engineering, computer science and management systems, and houses UCF's Department of Electrical Engineering and Computer Science. The dean of the college is Michael Georgiopoulos, Ph.D.UCF is listed as a university with ""very high research activity"" by The Carnegie Foundation for the Advancement of Teaching. With an enrollment of over 7,500 undergraduate and graduate students as of Fall 2012, the college is one of the premier engineering schools in the United States. The college is recognized by U.S. News & World Report as one of the nation's best Engineering schools, and as one of the world's best in the ARWU rankings. The university has made noted research contributions to modeling and simulation, digital media, and engineering and computer science.

History
The College of Engineering and Computer Science was one of the four original academic colleges when UCF began classes in 1968 as Florida Technological University.",18097115,University of Central Florida College of Engineering and Computer Science,E
How many undergraduate and graduate students were enrolled in the college as of Fall 2012?,"Over 5,000","Over 10,000","Over 7,500","Over 3,000","Over 15,000",option_3,"The University of Central Florida College of Engineering and Computer Science is an academic college of the University of Central Florida located in Orlando, Florida, United States. The college offers degrees in engineering, computer science and management systems, and houses UCF's Department of Electrical Engineering and Computer Science. The dean of the college is Michael Georgiopoulos, Ph.D.UCF is listed as a university with ""very high research activity"" by The Carnegie Foundation for the Advancement of Teaching. With an enrollment of over 7,500 undergraduate and graduate students as of Fall 2012, the college is one of the premier engineering schools in the United States. The college is recognized by U.S. News & World Report as one of the nation's best Engineering schools, and as one of the world's best in the ARWU rankings. The university has made noted research contributions to modeling and simulation, digital media, and engineering and computer science.

History
The College of Engineering and Computer Science was one of the four original academic colleges when UCF began classes in 1968 as Florida Technological University.",18097115,University of Central Florida College of Engineering and Computer Science,E
What is the University of Central Florida listed as by The Carnegie Foundation for the Advancement of Teaching?,A liberal arts college,A research university,An Ivy League institution,A community college,A vocational school,option_2,"The University of Central Florida College of Engineering and Computer Science is an academic college of the University of Central Florida located in Orlando, Florida, United States. The college offers degrees in engineering, computer science and management systems, and houses UCF's Department of Electrical Engineering and Computer Science. The dean of the college is Michael Georgiopoulos, Ph.D.UCF is listed as a university with ""very high research activity"" by The Carnegie Foundation for the Advancement of Teaching. With an enrollment of over 7,500 undergraduate and graduate students as of Fall 2012, the college is one of the premier engineering schools in the United States. The college is recognized by U.S. News & World Report as one of the nation's best Engineering schools, and as one of the world's best in the ARWU rankings. The university has made noted research contributions to modeling and simulation, digital media, and engineering and computer science.

History
The College of Engineering and Computer Science was one of the four original academic colleges when UCF began classes in 1968 as Florida Technological University.",18097115,University of Central Florida College of Engineering and Computer Science,E
What are some of the research contributions made by the university?,Architecture and design,Medicine and healthcare,Environmental science,Modeling and simulation,Linguistics and literature,option_4,"The University of Central Florida College of Engineering and Computer Science is an academic college of the University of Central Florida located in Orlando, Florida, United States. The college offers degrees in engineering, computer science and management systems, and houses UCF's Department of Electrical Engineering and Computer Science. The dean of the college is Michael Georgiopoulos, Ph.D.UCF is listed as a university with ""very high research activity"" by The Carnegie Foundation for the Advancement of Teaching. With an enrollment of over 7,500 undergraduate and graduate students as of Fall 2012, the college is one of the premier engineering schools in the United States. The college is recognized by U.S. News & World Report as one of the nation's best Engineering schools, and as one of the world's best in the ARWU rankings. The university has made noted research contributions to modeling and simulation, digital media, and engineering and computer science.

History
The College of Engineering and Computer Science was one of the four original academic colleges when UCF began classes in 1968 as Florida Technological University.",18097115,University of Central Florida College of Engineering and Computer Science,E
What is the definition of physical mathematics?,The study of mathematical physics,The study of mathematical representations of physical phenomena,The study of mathematical theories in relation to physical applications,The study of mathematical models in the field of physics,The study of mathematics applied to physical sciences,option_3,"The subject of physical mathematics is concerned with physically motivated mathematics and is considered by some as a subfield of mathematical physics.
According to Margaret Osler the simple machines of Hero of Alexandria and the ray tracing of Alhazen did not refer to causality or forces. Accordingly these early expressions of kinematics and optics do not rise to the level of mathematical physics as practiced by Galileo and Newton.
The details of physical units and their manipulation were addressed by Alexander Macfarlane in Physical Arithmetic in 1885. The science of kinematics created a need for mathematical representation of motion and has found expression with complex numbers, quaternions, and linear algebra.
At Cambridge University the Mathematical Tripos tested students on their knowledge of ""mixed mathematics"". ""... [N]ew books which appeared  in the mid-eighteenth century offered a systematic introduction to the fundamental  operations of the fluxional calculus and showed how it could be applied to a wide range of mathematical and physical problems. ... The strongly problem-oriented presentation in the treatises ...",32439784,Physical mathematics,M
Who is considered to have laid the foundations of mathematical physics?,Hero of Alexandria,Alhazen,Galileo,Newton,Margaret Osler,option_3,"The subject of physical mathematics is concerned with physically motivated mathematics and is considered by some as a subfield of mathematical physics.
According to Margaret Osler the simple machines of Hero of Alexandria and the ray tracing of Alhazen did not refer to causality or forces. Accordingly these early expressions of kinematics and optics do not rise to the level of mathematical physics as practiced by Galileo and Newton.
The details of physical units and their manipulation were addressed by Alexander Macfarlane in Physical Arithmetic in 1885. The science of kinematics created a need for mathematical representation of motion and has found expression with complex numbers, quaternions, and linear algebra.
At Cambridge University the Mathematical Tripos tested students on their knowledge of ""mixed mathematics"". ""... [N]ew books which appeared  in the mid-eighteenth century offered a systematic introduction to the fundamental  operations of the fluxional calculus and showed how it could be applied to a wide range of mathematical and physical problems. ... The strongly problem-oriented presentation in the treatises ...",32439784,Physical mathematics,M
Which mathematician addressed the details of physical units and their manipulation?,Margaret Osler,Hero of Alexandria,Alhazen,Alexander Macfarlane,Galileo,option_4,"The subject of physical mathematics is concerned with physically motivated mathematics and is considered by some as a subfield of mathematical physics.
According to Margaret Osler the simple machines of Hero of Alexandria and the ray tracing of Alhazen did not refer to causality or forces. Accordingly these early expressions of kinematics and optics do not rise to the level of mathematical physics as practiced by Galileo and Newton.
The details of physical units and their manipulation were addressed by Alexander Macfarlane in Physical Arithmetic in 1885. The science of kinematics created a need for mathematical representation of motion and has found expression with complex numbers, quaternions, and linear algebra.
At Cambridge University the Mathematical Tripos tested students on their knowledge of ""mixed mathematics"". ""... [N]ew books which appeared  in the mid-eighteenth century offered a systematic introduction to the fundamental  operations of the fluxional calculus and showed how it could be applied to a wide range of mathematical and physical problems. ... The strongly problem-oriented presentation in the treatises ...",32439784,Physical mathematics,M
What mathematical representation is commonly used in kinematics?,Complex numbers,Quaternions,Linear algebra,All of the above,None of the above,option_4,"The subject of physical mathematics is concerned with physically motivated mathematics and is considered by some as a subfield of mathematical physics.
According to Margaret Osler the simple machines of Hero of Alexandria and the ray tracing of Alhazen did not refer to causality or forces. Accordingly these early expressions of kinematics and optics do not rise to the level of mathematical physics as practiced by Galileo and Newton.
The details of physical units and their manipulation were addressed by Alexander Macfarlane in Physical Arithmetic in 1885. The science of kinematics created a need for mathematical representation of motion and has found expression with complex numbers, quaternions, and linear algebra.
At Cambridge University the Mathematical Tripos tested students on their knowledge of ""mixed mathematics"". ""... [N]ew books which appeared  in the mid-eighteenth century offered a systematic introduction to the fundamental  operations of the fluxional calculus and showed how it could be applied to a wide range of mathematical and physical problems. ... The strongly problem-oriented presentation in the treatises ...",32439784,Physical mathematics,M
What did the Mathematical Tripos test students on at Cambridge University?,Their knowledge of mixed mathematics,Their knowledge of physical arithmetic,Their knowledge of mathematical physics,Their knowledge of fluxional calculus,Their knowledge of mathematical and physical problems,option_1,"The subject of physical mathematics is concerned with physically motivated mathematics and is considered by some as a subfield of mathematical physics.
According to Margaret Osler the simple machines of Hero of Alexandria and the ray tracing of Alhazen did not refer to causality or forces. Accordingly these early expressions of kinematics and optics do not rise to the level of mathematical physics as practiced by Galileo and Newton.
The details of physical units and their manipulation were addressed by Alexander Macfarlane in Physical Arithmetic in 1885. The science of kinematics created a need for mathematical representation of motion and has found expression with complex numbers, quaternions, and linear algebra.
At Cambridge University the Mathematical Tripos tested students on their knowledge of ""mixed mathematics"". ""... [N]ew books which appeared  in the mid-eighteenth century offered a systematic introduction to the fundamental  operations of the fluxional calculus and showed how it could be applied to a wide range of mathematical and physical problems. ... The strongly problem-oriented presentation in the treatises ...",32439784,Physical mathematics,M
